0,1,2,3,4,5,6,7,8,9
 ,Q3/22,Q4/22,Q1/23,Q2/23,Q3/23,Q4/23,FY22*,FY23*,FY24*
-Consumer Discretionary-,12.8%,22.3%,31.2%,38.4%,32.8%,23.5%,14.0%,29.2%,19.6%
-Consumer Staples-,-3.8%,-1.6%,1.7%,6.5%,9.9%,9.0%,4.4%,2.1%,8.6%
-Energy-,123.3%,62.4%,26.8%,-28.0%,-19.8%,-15.5%,168.5%,-11.1%,-15.0%
-Financials-,-13.2%,-7.7%,9.4%,15.3%,16.1%,11.2%,-15.8%,12.8%,8.3%
-Real Estate-,12.5%,7.6%,-1.9%,3.7%,3.7%,8.0%,14.4%,4.1%,6.0%
-Health Care-,-6.9%,-2.5%,-8.1%,-4.0%,4.5%,2.0%,4.1%,-1.6%,6.4%
-Industrials-,24.3%,24.5%,22.4%,9.2%,13.4%,11.0%,25.9%,14.7%,12.1%
-Information Technology-,-6.7%,0.1%,1.0%,8.0%,14.1%,12.0%,11.0%,4.3%,11.9%
-Materials-,-8.4%,-3.6%,-14.0%,-12.2%,-0.1%,-1.2%,10.1%,-7.5%,1.3%
-Communication Services-,-10.8%,-4.7%,4.5%,11.9%,16.0%,13.4%,-8.5%,13.1%,15.3%
-Utilities-,1.5%,3.2%,0.7%,0.5%,8.3%,23.7%,2.3%,6.7%,8.3%
